date,Africa (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,source
2019-02-28,3.72,2.7,17.96,-1.4,3.3,-2.1,-4.1,0.7,2.6,5.3,3.2,0.12,,-0.4,6.28,2.7,14.4,,,5.1,10.9,4.2,6.16,9.2,9.7,2.5,4.14,5.0,22.0,-0.3,6.1,7.9,-0.6,2.3,-0.8,0.0,3.72,4.4,-0.7,11.31,-0.4,9.2,-0.1,2.06,14.1,3.09,4.0,58.7,44.29,3.0,2.1,7.3,2.6,7.8,59.39,Price inflation data from the WFP VAM resource centre
2019-03-31,3.41,2.9,17.56,0.4,3.3,-2.0,-2.9,1.0,3.1,4.6,2.7,2.05,,0.5,5.56,2.7,14.2,,,5.3,11.1,4.2,6.13,9.3,9.7,2.5,4.35,5.2,25.8,-0.8,5.9,9.3,-1.0,1.8,-1.4,-0.1,3.41,4.5,-1.7,11.25,0.7,9.1,0.9,2.01,14.8,3.17,4.6,62.9,45.4,3.1,2.0,7.1,2.9,7.5,66.8,Price inflation data from the WFP VAM resource centre
2019-04-30,3.25,2.3,17.36,-1.6,2.5,-2.5,-2.2,1.1,3.1,4.9,2.7,3.25,,0.7,6.0,2.9,13.0,,,1.8,12.9,3.0,6.92,9.5,9.5,1.0,6.58,5.6,23.3,1.3,5.7,9.1,-1.5,1.7,0.5,0.2,3.27,4.5,-2.8,11.37,-0.3,9.0,0.8,2.02,16.6,5.66,4.3,51.9,44.6,3.2,-0.3,6.9,3.0,7.7,75.86,Price inflation data from the WFP VAM resource centre
2019-05-31,2.91,1.5,17.14,-0.9,2.6,-2.4,-2.4,1.5,2.9,2.4,-3.3,2.91,,0.8,3.76,3.2,14.1,,,1.6,16.2,1.9,7.46,9.4,9.6,-1.1,5.49,5.9,28.7,-0.1,5.6,8.9,-3.0,1.8,0.8,0.3,2.42,4.1,-3.5,11.4,-0.4,9.0,1.5,2.08,15.0,5.88,4.5,77.6,45.0,3.5,-0.5,7.0,2.8,8.1,97.85,Price inflation data from the WFP VAM resource centre
2019-06-30,3.5,0.1,16.94,-3.8,2.8,-3.9,-4.0,1.5,3.1,3.5,-1.4,3.91,,1.2,3.39,3.7,9.4,,,1.7,15.4,1.1,7.35,9.1,9.6,-1.5,5.7,5.6,29.9,-3.1,5.4,9.0,-1.4,1.8,0.6,0.2,2.3,3.9,-3.7,11.22,0.9,8.6,2.1,1.87,14.7,6.6,4.5,86.3,47.8,3.7,1.3,6.8,2.6,8.6,175.66,Price inflation data from the WFP VAM resource centre
2019-07-31,3.6,1.3,17.24,-2.5,2.9,-4.5,-2.6,1.1,3.2,3.6,-2.8,3.23,,1.2,4.6,3.6,8.7,,,1.7,15.5,1.0,7.31,9.4,9.4,0.1,6.27,5.4,29.9,-4.6,5.5,9.3,-0.9,2.2,0.8,0.3,2.16,3.6,-3.5,11.08,1.6,8.2,1.1,1.53,14.9,6.8,3.9,71.8,52.6,3.7,0.6,6.5,2.1,8.8,230.54,Price inflation data from the WFP VAM resource centre
2019-08-30,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price inflation data from the WFP VAM resource centre
2019-08-31,3.5,1.9,17.5,-1.7,2.9,-4.9,-0.6,1.5,3.1,2.7,-2.1,3.71,,0.4,3.8,3.5,7.5,,,2.0,17.9,1.0,7.36,7.8,9.4,-0.4,5.0,5.2,31.3,-6.1,5.5,9.5,-2.1,2.4,1.7,0.8,2.02,3.7,-3.6,11.02,2.8,7.0,1.3,1.77,15.4,5.8,4.4,107.7,53.1,3.6,-0.3,6.7,1.7,9.3,288.5,Price inflation data from the WFP VAM resource centre
2019-09-30,3.4,2.9,16.08,-1.7,3.0,-5.4,2.0,0.7,2.9,2.5,-2.8,6.54,,0.5,3.69,4.4,4.8,,,1.9,18.6,0.9,7.58,7.6,9.4,-0.7,3.83,5.1,30.9,-6.0,5.3,9.2,-2.2,2.4,1.3,0.3,2.01,3.3,-2.9,11.24,4.6,5.4,0.7,1.41,15.2,5.2,4.1,157.3,53.5,3.4,0.4,6.7,1.5,10.5,353.0,Price inflation data from the WFP VAM resource centre
2019-10-31,3.6,1.5,16.08,-0.4,2.4,-3.8,4.0,0.7,2.6,1.1,-3.3,6.9,,0.3,3.61,4.0,3.1,,,1.6,18.6,0.5,7.546,7.7,9.3,-0.6,4.95,4.9,30.55,-1.7,5.2,9.6,-3.6,2.9,0.3,0.7,2.25,3.0,-1.8,11.61,7.2,4.8,1.3,1.21,15.85,4.2,3.6,170.5,57.7,3.6,0.4,6.5,1.9,10.7,440.1,Price inflation data from the WFP VAM resource centre
2019-11-30,3.6,1.4,16.32,1.5,2.1,-3.1,3.6,0.7,2.5,-0.2,-2.8,6.07,,1.2,3.65,3.6,3.6,,,1.8,20.8,0.2,7.725,8.2,9.3,-0.5,5.56,4.6,26.6,-0.9,4.8,10.4,-4.1,3.1,0.2,0.4,2.58,2.5,-1.8,11.85,11.8,6.7,1.3,1.7,13.09,3.8,3.6,72.7,,3.8,0.4,6.3,2.1,10.8,480.7,Price inflation data from the WFP VAM resource centre
2019-12-31,3.3,2.4,16.9,0.3,2.2,-2.6,4.9,1.9,2.4,-2.8,-1.7,6.25,,1.6,5.69,3.3,7.1,1.2,-16.4,2.0,19.5,1.0,7.676,7.9,9.1,-0.1,5.82,4.8,20.3,0.9,3.9,11.5,-3.3,2.7,0.9,1.2,3.5,2.6,-2.3,11.98,11.9,7.7,0.6,1.69,13.89,3.13,4.0,69.0,57.01,3.8,-0.3,6.1,2.4,11.7,521.2,Price inflation data from the WFP VAM resource centre
2020-01-31,3.48,1.9,17.95,0.5,2.2,-0.9,5.2,1.7,2.7,-0.9,1.0,6.63,,2.0,5.99,2.7,7.2,,,2.7,18.7,0.9,7.361,7.8,9.1,-0.2,5.78,4.1,23.6,0.8,3.9,11.1,-0.9,2.8,2.0,1.3,3.48,2.1,0.1,12.13,11.5,9.0,2.0,0.8,13.6,3.2,4.6,36.4,64.28,3.7,0.7,5.9,2.5,12.5,175.66,Price inflation data from the WFP VAM resource centre
2020-02-28,,,,3.5,,0.7,7.6,,2.6,,3.2,,,,,2.6,,,,,,1.0,,,,-0.6,,4.2,25.8,0.4,3.8,,0.1,3.2,,,,,0.3,,,8.1,,,14.69,,,54.0,71.4,,1.1,,,,,Price inflation data from the WFP VAM resource centre
2020-02-29,4.7,1.8,18.74,,2.2,,,1.9,,-0.8,,7.49,,2.6,6.11,,5.3,,,2.8,21.8,,7.842,7.8,9.3,,7.17,,,,,11.0,,,2.2,1.1,3.55,2.5,,12.2,13.5,,1.9,0.76,,3.1,4.7,,,3.7,,5.8,2.9,13.9,540.16,Price inflation data from the WFP VAM resource centre
2020-03-31,4.0,2.1,19.62,2.1,2.2,-0.3,7.1,1.6,2.5,0.4,4.7,8.52,,2.4,14.97,2.6,5.1,,,3.0,22.6,0.7,7.588,7.8,9.5,1.3,5.84,4.0,21.7,1.4,4.2,9.8,-1.4,3.2,2.9,1.5,3.09,2.4,1.2,12.26,13.1,8.2,2.5,0.85,15.56,5.2,4.1,40.4,81.6,3.4,1.8,6.2,2.1,14.0,676.39,Price inflation data from the WFP VAM resource centre
2020-04-30,4.2,2.4,20.81,3.2,2.5,-1.2,7.6,1.3,2.6,0.2,6.3,4.67,,2.3,27.15,2.6,5.9,,,3.9,22.9,1.1,5.607,10.6,11.6,3.0,6.01,4.2,22.5,1.3,4.5,9.4,-1.9,3.2,4.2,0.9,3.32,1.6,2.4,12.34,10.1,9.6,3.3,0.08,15.08,4.3,3.0,39.5,98.8,3.3,2.4,6.3,2.6,15.7,765.57,Price inflation data from the WFP VAM resource centre
2020-05-31,3.55,2.4,21.82,2.2,2.4,2.2,9.2,0.3,2.4,4.6,3.5,3.55,,2.3,30.58,1.6,4.7,,,4.0,19.8,1.0,5.4,11.3,11.5,2.9,5.33,4.0,18.4,-0.3,4.3,8.7,-1.2,3.1,2.8,-0.2,3.02,2.1,2.8,12.4,9.9,10.1,2.7,-0.18,15.47,4.2,2.0,37.7,114.3,3.2,1.2,6.3,2.7,16.6,785.55,Price inflation data from the WFP VAM resource centre
2020-06-30,3.8,2.8,22.62,3.9,0.9,1.1,8.5,-0.2,2.4,5.0,3.0,1.25,,2.8,33.67,2.6,5.6,,,3.8,21.6,0.8,5.136,11.2,11.3,2.7,4.59,4.9,13.1,1.7,3.9,8.5,-0.6,2.9,1.7,-0.7,2.69,2.1,2.6,12.56,10.3,10.1,2.0,0.19,14.36,4.3,2.2,9.8,136.0,3.2,-0.4,5.8,3.4,15.9,457.2,Price inflation data from the WFP VAM resource centre
2020-07-31,4.0,2.4,22.93,4.0,0.9,1.4,7.7,0.3,2.52,3.3,5.3,-1.75,,2.7,38.85,3.7,4.2,,,3.9,22.3,1.5,4.819,11.4,11.3,1.3,4.36,5.6,17.1,1.9,4.0,8.0,0.6,2.0,1.5,-0.1,2.8,2.1,5.1,12.82,11.5,10.2,2.7,0.97,13.3,4.1,3.2,7.5,143.8,3.3,1.5,5.7,3.2,15.8,485.3,Price inflation data from the WFP VAM resource centre
2020-08-31,4.0,1.5,23.41,4.7,1.0,4.1,6.4,0.1,2.52,2.7,8.5,-2.03,,2.7,40.11,1.5,3.4,,,3.9,20.0,1.7,5.43,10.5,11.0,1.6,4.36,6.0,14.77,1.9,4.0,7.6,2.1,1.5,1.5,0.9,2.75,2.4,5.7,13.22,10.9,10.1,3.0,1.2,13.32,4.1,3.1,11.6,166.8,3.3,2.4,5.4,3.0,15.5,420.9,Price inflation data from the WFP VAM resource centre
2020-09-30,4.015,1.4,23.82,4.8,1.8,4.5,6.3,0.8,2.43,1.9,5.2,-4.29,,1.9,40.46,0.2,3.7,,,4.1,18.7,2.0,5.175,10.4,10.6,1.8,4.2,5.9,14.03,2.0,4.3,7.1,1.4,1.5,2.6,1.4,2.98,2.4,,13.71,10.8,10.8,2.8,1.8,13.71,3.93,3.0,8.0,212.3,3.1,2.9,5.4,2.6,15.7,376.3,Price inflation data from the WFP VAM resource centre
2020-10-31,4.4,3.2,24.34,4.4,2.2,4.6,7.0,0.3,2.42,2.99,5.5,-4.69,,3.1,40.83,0.5,4.5,,,4.7,19.3,1.9,5.578,10.1,10.8,1.1,4.84,5.6,13.85,1.6,4.3,7.5,4.4,1.4,3.2,1.3,3.2,2.3,3.3,14.23,9.3,11.9,2.6,1.9,11.71,3.75,3.3,11.5,229.9,3.1,2.8,5.4,3.0,16.0,249.6,Price inflation data from the WFP VAM resource centre
2020-11-30,4.37,3.4,24.9,2.1,2.2,4.5,9.0,0.1,2.15,3.59,4.5,-3.44,,1.7,41.02,0.4,5.7,,,4.9,19.0,2.0,5.768,9.8,10.7,1.6,5.33,5.6,10.39,2.0,4.4,7.3,2.5,1.9,3.1,0.2,3.3,2.2,2.9,14.89,4.5,10.8,2.4,2.25,10.63,4.37,3.2,78.3,254.3,3.0,2.3,4.9,2.5,17.4,215.0,Price inflation data from the WFP VAM resource centre
2020-12-31,3.78,3.5,25.1,3.0,2.2,2.3,8.0,-0.9,2.15,4.78,3.1,-4.77,,2.4,41.13,0.3,5.4,3.0,4.8,4.6,18.2,2.0,5.665,10.4,10.6,1.5,5.62,5.7,13.12,2.8,4.5,7.6,-1.1,1.8,2.7,-0.3,3.5,2.4,3.1,15.75,3.9,9.4,2.4,3.78,10.45,4.84,3.1,58.0,269.0,3.2,3.6,4.9,2.4,19.2,188.9,Price inflation data from the WFP VAM resource centre
2021-01-31,4.2,4.2,24.41,2.9,2.3,3.0,6.3,-0.9,1.89,5.03,1.6,-4.75,,2.3,40.34,0.5,4.3,,,4.3,19.2,1.6,7.574,9.9,12.6,1.7,5.69,5.4,12.92,2.53,5.0,7.7,0.8,2.2,1.0,0.0,4.09,2.7,3.7,16.47,3.5,8.2,0.9,7.62,11.5,5.0,3.2,46.8,304.0,3.5,1.9,4.9,2.0,21.5,191.5,Price inflation data from the WFP VAM resource centre
2021-02-28,4.7,5.3,24.85,-1.8,2.4,1.6,6.1,-0.7,1.89,5.79,-0.5,-5.26,,3.2,39.83,0.4,4.5,,,3.9,20.6,1.7,6.375,10.3,12.6,1.5,5.78,5.6,10.5,2.72,4.9,8.3,1.0,2.4,1.2,0.3,5.1,2.7,4.7,17.33,2.2,8.3,1.7,8.68,10.87,5.03,2.8,18.3,330.8,3.3,2.1,4.9,2.4,22.2,162.9,Price inflation data from the WFP VAM resource centre
2021-03-31,4.5,5.9,24.77,-0.5,2.4,2.5,7.8,0.0,1.97,4.89,-0.2,-6.02,,3.3,28.95,0.5,4.5,,,4.2,20.6,1.7,7.368,10.3,12.3,0.7,5.9,6.5,9.96,1.6,5.1,10.2,4.0,2.4,1.0,0.1,5.76,3.1,3.9,18.17,1.7,9.1,1.2,9.59,8.95,5.08,3.2,18.96,341.8,3.2,0.8,4.8,2.7,22.8,122.3,Price inflation data from the WFP VAM resource centre
2021-04-30,4.699999999999999,7.2,24.82,0.5,5.6,4.6,6.44,0.0,1.7,4.59,-1.8,-3.42,,4.0,16.66,0.4,4.1,,,3.7,19.2,1.3,7.257,8.5,12.4,0.3,5.76,6.7,9.41,0.47,5.44,9.2,4.8,2.4,0.2,1.4,5.19,3.9,,18.12,2.7,7.36,0.3,10.68,9.6,4.21,4.4,15.12,363.1,3.3,3.0,5.0,2.1,22.7,94.7,Price inflation data from the WFP VAM resource centre
2021-05-31,5.2,6.0,24.94,1.7,6.2,2.3,5.1,1.3,2.22,5.7,,-2.45,,4.2,13.47,1.5,4.8,,,3.6,19.7,1.0,7.668,7.5,12.4,1.6,5.87,6.9,8.17,1.48,5.81,8.9,5.3,2.7,2.4,1.9,5.49,3.8,,17.93,0.4,6.8,1.3,11.37,9.8,3.83,5.2,14.0,379.0,3.3,3.7,5.0,1.9,23.2,74.6,Price inflation data from the WFP VAM resource centre
2021-06-30,5.47,5.4,25.32,4.6,8.2,3.5,9.083,1.5,2.39,5.42,-0.6,-2.46,,3.5,10.8,0.5,4.9,,,3.9,24.5,0.6,8.053,7.8,12.2,2.7,6.32,6.0,8.1,2.08,6.06,9.1,4.0,2.9,5.9,1.5,5.52,4.1,,17.75,0.1,6.4,2.0,11.3,10.2,3.22,4.9,18.3,412.8,3.6,6.2,5.7,2.0,24.6,40.9,Price inflation data from the WFP VAM resource centre
2021-07-31,5.49,7.3,25.72,2.7,8.9,3.5,9.686,1.6,2.54,3.57,-0.7,0.27,,3.9,6.86,-0.53,5.4,,,3.9,26.4,0.5,8.168,9.0,12.3,4.8,6.55,5.5,7.12,,6.25,8.7,2.0,3.5,6.5,2.2,5.48,4.0,3.756,17.38,-1.1,6.9,2.9,10.62,10.5,4.72,4.7,11.74,422.78,3.8,6.8,6.4,2.1,24.6,21.6,Price inflation data from the WFP VAM resource centre
2021-08-31,5.655,8.7,26.09,1.4,8.8,2.8,10.468,2.4,2.29,2.56,-3.1,0.88,,4.8,5.86,1.35,5.7,,,3.9,30.4,0.6,6.945,9.7,13.5,4.9,6.57,5.2,7.0,,6.41,8.4,1.5,4.4,6.0,0.8,5.61,3.4,3.721,17.01,-1.8,8.8,2.6,10.51,10.9,4.31,4.9,11.31,387.6,3.8,6.8,6.2,1.9,24.4,21.5,Price inflation data from the WFP VAM resource centre
2021-09-30,5.4,9.6,26.57,3.0,8.4,4.4,10.491,2.7,2.37,3.86,-0.9,4.3,,5.2,5.71,2.55,6.6,,,3.6,34.8,0.6,7.008,10.6,13.1,4.3,6.91,5.4,6.69,3.69,6.29,8.9,4.7,4.7,5.4,1.2,6.04,3.5,,16.63,-3.2,9.1,3.0,9.8,11.63,4.24,5.0,5.05,365.8,4.0,5.7,6.2,2.2,22.1,24.4,Price inflation data from the WFP VAM resource centre
2021-10-31,5.44,9.2,26.87,2.3,8.8,3.9,9.874,3.8,2.19,2.84,-0.45,5.2,,4.5,5.44,2.55,6.3,,,3.3,34.2,0.8,7.343,11.0,12.7,5.4,6.45,6.2,4.42,4.1,6.18,9.8,2.9,4.7,5.8,1.7,6.42,3.6,3.605,15.99,-3.3,8.4,3.2,9.9,14.55,4.86,5.0,5.81,351.0,4.0,5.9,6.3,1.9,21.1,25.9,Price inflation data from the WFP VAM resource centre
2021-11-30,5.6,9.3,26.98,2.5,8.6,6.0,8.646,4.8,2.36,4.2,-1.6,5.8,,5.5,5.29,2.46,5.6,,,3.0,33.0,1.3,7.089,12.2,12.6,5.6,5.8,6.4,5.44,4.3,6.16,11.1,3.2,4.6,6.4,2.6,6.77,4.1,4.406,15.4,-3.4,8.8,3.0,9.37,15.77,5.03,5.4,-10.29,339.6,4.1,5.4,6.4,2.6,19.3,25.8,Price inflation data from the WFP VAM resource centre
2021-12-31,5.9,8.5,27.03,5.0,8.7,8.0,10.073,5.4,3.45,2.7,1.0,7.1,,5.6,5.13,2.55,5.9,,,3.5,35.1,1.6,7.607,12.6,12.5,5.8,5.73,6.8,5.46,3.9,6.11,11.5,3.9,5.7,6.8,3.2,6.74,4.5,4.89,15.63,-2.0,9.5,3.8,7.85,17.94,5.67,5.9,-8.52,318.2,4.2,6.2,6.6,2.9,16.4,24.9,Price inflation data from the WFP VAM resource centre
2022-01-31,6.6,9.0,27.66,7.9,10.6,7.2,12.296,6.6,4.13,0.2,2.0,6.3,,5.6,5.21,2.63,7.3,,,3.6,34.5,2.0,7.812,13.9,11.8,6.5,5.39,7.6,6.55,4.1,5.99,12.1,8.7,6.0,7.4,3.1,7.8,4.6,5.4,15.6,1.3,10.5,5.5,3.87,16.65,6.84,5.7,-11.96,259.8,4.0,7.4,6.7,2.7,15.1,24.9,Price inflation data from the WFP VAM resource centre
2022-02-28,6.7,9.2,27.28,2.5,10.6,10.1,13.317,7.1,4.47,2.3,2.2,5.7,,4.6,5.3,2.72,8.8,,,3.3,33.6,2.4,8.347,15.7,12.3,6.7,5.08,7.5,7.64,4.8,6.34,13.0,7.5,6.1,9.0,3.6,6.84,4.5,4.7,15.7,4.2,12.1,6.5,2.98,17.59,6.45,5.7,-13.3,258.4,3.7,8.5,7.0,3.2,14.2,27.8,Price inflation data from the WFP VAM resource centre
2022-03-31,6.8,9.3,27.0,2.0,10.0,13.5,12.798,7.6,4.61,3.1,3.5,6.9,,4.5,5.85,3.61,10.5,,,3.4,34.7,2.9,8.203,19.4,12.4,6.8,5.56,7.2,9.51,5.7,6.22,14.1,8.3,6.8,10.7,5.3,6.67,4.5,5.3,15.92,5.6,12.8,6.2,2.22,22.06,6.1,5.9,-8.21,263.2,3.6,8.7,7.2,3.7,13.1,29.8,Price inflation data from the WFP VAM resource centre
2022-04-30,7.5,10.0,25.79,1.0,9.6,15.1,16.091,7.6,5.52,10.8,4.0,7.6,,4.0,6.46,5.3,13.1,,,4.0,36.6,3.0,11.688,23.6,11.0,6.7,6.47,7.3,6.26,5.5,6.17,15.7,9.2,8.2,11.0,5.9,7.9,5.6,5.4,16.82,10.5,14.4,7.0,2.2,22.44,6.5,5.9,-4.29,220.7,3.8,7.5,7.5,4.9,11.5,41.0,Price inflation data from the WFP VAM resource centre
2022-05-31,7.8,9.5,24.42,0.5,11.9,15.3,18.565,7.8,5.93,4.2,5.0,5.8,,3.5,7.26,5.3,13.5,,,3.9,37.7,3.3,11.582,27.6,11.1,7.1,7.1,7.8,6.23,5.2,6.4,19.1,9.7,8.9,10.7,5.9,9.31,5.4,5.5,17.71,14.8,14.9,7.4,2.08,24.9,6.7,6.5,-6.56,192.2,4.0,8.0,7.8,6.3,10.2,50.5,Price inflation data from the WFP VAM resource centre
2022-06-30,8.8,10.8,22.96,-2.6,12.7,17.8,17.574,8.2,5.99,3.8,5.3,11.4,,5.4,8.43,11.5,13.2,,,4.6,34.0,4.4,11.7,29.8,12.5,8.3,7.9,8.8,6.32,5.0,6.91,23.5,9.5,9.6,9.6,7.2,10.81,6.0,4.7,18.6,16.1,16.7,8.9,2.05,28.0,7.0,7.4,3.2,148.9,4.4,6.8,8.1,6.8,9.7,70.0,Price inflation data from the WFP VAM resource centre
