All ages estimate,All ages lower estimate,All ages upper estimate,country,year
40430.0,25184.52092,57694.44104,UNALA,2008
40793.0,25413.18006,58218.26919,UNALA,2009
40302.0,25106.74859,57516.2748,UNALA,2010
40361.0,25143.16097,57599.69079,UNALA,2011
39811.0,24800.45817,56814.60353,UNALA,2012
38771.0,24154.38076,55334.52475,UNALA,2013
39360.0,24519.97404,56172.0511,UNALA,2014
38981.0,24282.24248,55627.43921,UNALA,2015
35929.0,22381.74047,51273.63788,UNALA,2016
33641.0,20956.92241,48009.56619,UNALA,2017
33717.0,21003.74686,48116.83487,UNALA,2018
33738.0,21017.6031,48148.5777,UNALA,2019
32076.0,19983.08077,45778.62247,UNALA,2020
29165.0,18169.94092,41624.95639,UNALA,2021
725.0,548.76141,972.96152,UNAMENA,1990
922.0,695.42425,1232.99674,UNAMENA,1991
1157.0,873.98875,1549.59406,UNAMENA,1992
1437.0,1086.15198,1925.76238,UNAMENA,1993
1762.0,1332.89192,2363.23569,UNAMENA,1994
2126.0,1607.92695,2850.87657,UNAMENA,1995
2501.0,1890.17157,3351.30015,UNAMENA,1996
2925.0,2211.23161,3920.54402,UNAMENA,1997
3395.0,2567.11135,4551.52368,UNAMENA,1998
3891.0,2941.41916,5215.17657,UNAMENA,1999
4413.0,3335.61564,5914.09233,UNAMENA,2000
4905.0,3706.77343,6572.1602,UNAMENA,2001
5421.0,4097.3608,7264.67696,UNAMENA,2002
5845.0,4417.96875,7833.11927,UNAMENA,2003
6168.0,4661.23579,8264.43507,UNAMENA,2004
6550.0,4952.23298,8780.37709,UNAMENA,2005
6858.0,5185.85054,9194.58422,UNAMENA,2006
7028.0,5315.54277,9424.53034,UNAMENA,2007
7093.0,5362.74989,9508.2292,UNAMENA,2008
6698.0,5063.14039,8977.01745,UNAMENA,2009
6589.0,4981.48824,8832.24706,UNAMENA,2010
6755.0,5107.80718,9056.21227,UNAMENA,2011
6831.0,5164.78872,9157.24134,UNAMENA,2012
6762.0,5112.88242,9065.21075,UNAMENA,2013
6633.0,5015.9342,8893.32023,UNAMENA,2014
6507.0,4919.47869,8722.30327,UNAMENA,2015
6327.0,4783.2693,8480.80217,UNAMENA,2016
5823.0,4401.92118,7804.66671,UNAMENA,2017
5409.0,4089.65698,7251.01799,UNAMENA,2018
5191.0,3925.1014,6959.2587,UNAMENA,2019
5103.0,3857.68052,6839.72054,UNAMENA,2020
5124.0,3873.29586,6867.40675,UNAMENA,2021
92514.0,76018.87243,115319.7138,UNAWCA,1990
115734.0,95098.77313,144263.6933,UNAWCA,1991
141377.0,116167.5071,176224.709,UNAWCA,1992
169056.0,138911.0748,210726.4273,UNAWCA,1993
197856.0,162576.9336,246627.25,UNAWCA,1994
227251.0,186728.9699,283265.5982,UNAWCA,1995
256604.0,210847.2928,319852.8035,UNAWCA,1996
285067.0,234237.517,355335.4918,UNAWCA,1997
311876.0,256263.7644,388749.0438,UNAWCA,1998
336598.0,276578.7186,419566.5846,UNAWCA,1999
359001.0,294984.3015,447487.6322,UNAWCA,2000
378424.0,310946.0173,471701.3628,UNAWCA,2001
393404.0,323254.1053,490372.5841,UNAWCA,2002
404445.0,332328.2054,504137.8846,UNAWCA,2003
406605.0,334102.7399,506829.8321,UNAWCA,2004
395802.0,325223.5337,493360.1833,UNAWCA,2005
380140.0,312356.4508,473840.9735,UNAWCA,2006
356196.0,292680.1365,443992.2417,UNAWCA,2007
338312.0,277986.6957,421702.469,UNAWCA,2008
300874.0,247223.5679,375035.1747,UNAWCA,2009
275501.0,226376.0259,343409.7045,UNAWCA,2010
266995.0,219388.0248,332808.991,UNAWCA,2011
256619.0,210861.1456,319873.8179,UNAWCA,2012
240289.0,197441.8691,299516.9372,UNAWCA,2013
227148.0,186643.1444,283135.402,UNAWCA,2014
216559.0,177945.1044,269940.5799,UNAWCA,2015
205765.0,169073.4611,256482.404,UNAWCA,2016
194620.0,159917.6412,242593.1354,UNAWCA,2017
180814.0,148573.42,225384.0886,UNAWCA,2018
169670.0,139415.427,211491.5234,UNAWCA,2019
153609.0,126216.9689,191469.6215,UNAWCA,2020
137739.0,113179.2062,171691.4925,UNAWCA,2021
41199.809519999995,30484.75448,52418.29215,UNAWCENA,1990
49641.292369999996,36731.49877,63159.51911,UNAWCENA,1991
57444.75136,42506.24439,73089.14814,UNAWCENA,1992
64184.1739,47492.00842,81662.12962,UNAWCENA,1993
69823.55169,51664.41749,88836.55373,UNAWCENA,1994
67651.88123,50057.47626,86073.4311,UNAWCENA,1995
61187.16169,45275.18196,77850.3142,UNAWCENA,1996
49369.395000000004,36529.3381,62811.90546,UNAWCENA,1997
32620.04683,24136.00143,41501.66191,UNAWCENA,1998
28265.4269,20915.62703,35964.25383,UNAWCENA,1999
28543.22891,21120.78572,36317.02256,UNAWCENA,2000
27972.88093,20698.49001,35590.88844,UNAWCENA,2001
27226.81625,20145.91336,34640.73731,UNAWCENA,2002
26593.79605,19676.08343,33832.86849,UNAWCENA,2003
26229.80672,19409.69292,33374.81214,UNAWCENA,2004
25661.82466,18989.71442,32652.66246,UNAWCENA,2005
24716.842810000002,18288.14276,31446.31558,UNAWCENA,2006
23583.86495,17451.52507,30007.75814,UNAWCENA,2007
22372.87287,16553.18376,28463.06742,UNAWCENA,2008
21623.87908,15999.74633,27511.43618,UNAWCENA,2009
19427.01091,14373.66706,24715.40585,UNAWCENA,2010
18553.93174,13728.86926,23606.68117,UNAWCENA,2011
16438.94893,12164.06393,20916.01089,UNAWCENA,2012
15726.0386,11637.03517,20009.78914,UNAWCENA,2013
15422.03978,11410.16513,19619.68791,UNAWCENA,2014
14692.08023,10872.51515,18695.20306,UNAWCENA,2015
13927.16044,10303.61425,17716.98252,UNAWCENA,2016
13303.28329,9843.0341,16925.01861,UNAWCENA,2017
13033.39822,9644.14508,16583.03053,UNAWCENA,2018
13051.4005,9657.62176,16606.20357,UNAWCENA,2019
12833.45504,9495.72098,16327.81647,UNAWCENA,2020
12748.52159,9432.415,16218.96234,UNAWCENA,2021
