country,All ages estimate,All ages lower estimate,All ages upper estimate,year
HRV,76.997717,63.637383,91.017278,2021
HTI,84.545449,75.485345,96.543298,2021
HUN,,,,2021
IDN,28.166307,26.43379,29.799226,2021
IND,65.014788,53.934956,78.700825,2021
IRL,78.446457,68.284141,89.689249,2021
IRN,29.990139,21.687601,81.5621,2021
IRQ,,,,2021
ISL,90.564847,74.589539,100.0,2021
ISR,,,,2021
ITA,87.357801,76.234179,96.570458,2021
JAM,47.009493,44.905885,52.164437,2021
JOR,,,,2021
JPN,,,,2021
KAZ,63.521207,57.299275,71.307211,2021
KEN,78.088066,70.505915,89.556572,2021
KGZ,50.269085,46.611876,55.138683,2021
KHM,84.148441,75.31436,92.556947,2021
KOR,,,,2021
KWT,,,,2021
LAO,55.289987,50.414643,60.269856,2021
LBN,65.790361,58.095971,75.391718,2021
LBR,61.316142,50.340699,75.528895,2021
LBY,40.643912,37.111798,44.235059,2021
LKA,66.025289,59.945445,72.558853,2021
LSO,80.770808,76.664289,87.002299,2021
LTU,36.205396,29.871815,41.015977,2021
LUX,76.256373,65.70378,85.087228,2021
LVA,39.40792,25.938623,50.756068,2021
MAR,79.900559,71.561397,90.141696,2021
MDA,47.655584,39.881648,58.208291,2021
MDG,14.914361,11.965417,19.079976,2021
MDV,,,,2021
MEX,60.820695,53.505168,67.891172,2021
MKD,,,,2021
MLI,53.100372,43.735828,68.342657,2021
MLT,,,,2021
MMR,69.890238,65.348187,74.373358,2021
MNE,58.073654,43.596369,86.863709,2021
MNG,38.019169,34.010758,41.602445,2021
MOZ,,,,2021
MRT,38.460722,31.687225,46.467248,2021
MUS,26.418,23.03693,30.951708,2021
MWI,90.877255,84.840902,99.173642,2021
MYS,54.837134,49.781765,59.433229,2021
NAM,90.744914,84.724874,99.604993,2021
NER,80.817087,72.310025,89.929107,2021
NGA,90.081231,84.196819,99.998413,2021
NIC,52.582202,43.063658,67.193589,2021
NLD,87.535906,78.983108,97.400595,2021
NOR,93.304253,76.92259,100.0,2021
NPL,71.655232,65.131666,78.195344,2021
NZL,81.378742,70.561024,91.972953,2021
OMN,64.550898,58.237537,70.555033,2021
PAK,14.007499,13.347924,14.544947,2021
PAN,,,,2021
PER,80.38851,70.057057,93.422553,2021
PHL,41.285311,37.946489,44.439432,2021
PNG,64.988992,59.564255,71.211647,2021
POL,,,,2021
PRK,,,,2021
PRT,86.893322,76.767576,95.184541,2021
PRY,66.414095,59.618443,75.39041,2021
QAT,58.181818,46.122314,69.395041,2021
ROU,66.328862,56.97099,76.533556,2021
RUS,,,,2021
RWA,92.580953,87.733471,98.254414,2021
SAU,,,,2021
SDN,26.796262,22.443524,33.194982,2021
SEN,78.528689,71.18801,87.378447,2021
SGP,79.043478,50.057596,100.0,2021
SLE,60.78552,57.58109,62.546047,2021
SLV,59.119244,54.606542,63.738938,2021
SOM,50.193648,44.478337,56.89391,2021
SRB,63.825652,48.143891,80.517424,2021
SSD,27.294643,26.244203,30.007037,2021
STP,100.0,81.933024,123.802379,2021
SUR,49.973863,41.013573,61.111094,2021
SVK,67.567568,53.45002,89.55161,2021
SVN,87.576127,72.748987,100.0,2021
SWE,,,,2021
SWZ,91.008275,85.170874,97.336544,2021
SYR,37.654321,31.611035,72.519433,2021
TCD,75.378464,60.16353,91.000549,2021
TGO,75.754293,72.875139,79.629479,2021
THA,85.916267,77.973126,93.937342,2021
TJK,65.044281,59.961562,72.218176,2021
TKM,,,,2021
TLS,54.583921,40.379784,70.674245,2021
TTO,65.105999,58.545476,72.706104,2021
TUN,28.821123,19.683895,42.406386,2021
TUR,,,,2021
TZA,85.524769,82.538608,92.918502,2021
UGA,82.321024,78.044275,90.469763,2021
UKR,62.161478,54.58497,71.278772,2021
URY,63.897465,50.404075,77.505556,2021
USA,,,,2021
UZB,51.238329,48.12749,55.499225,2021
VEN,58.277324,50.63971,65.410662,2021
VNM,72.381896,66.051038,79.145539,2021
YEM,30.807106,29.206969,32.225815,2021
ZAF,73.82042,68.407029,80.083014,2021
ZMB,90.290327,86.1672,96.788838,2021
ZWE,91.334967,83.664599,99.631749,2021
