name_short,date,indicator_name,value
North Africa (WB),2021-11-30,Inflation Rate (median),5.6
North Africa (WB),2021-12-31,Inflation Rate (median),5.9
North Africa (WB),2022-01-31,Inflation Rate (median),6.7
North Africa (WB),2022-02-28,Inflation Rate (median),7.0
North Africa (WB),2022-03-31,Inflation Rate (median),7.2
North Africa (WB),2022-04-30,Inflation Rate (median),7.5
North Africa (WB),2022-05-31,Inflation Rate (median),7.8
North Africa (WB),2022-06-30,Inflation Rate (median),9.899999999999999
North Africa (WB),2022-07-31,Inflation Rate (median),9.25
North Africa (WB),2022-08-31,Inflation Rate (median),8.6
Sub-Saharan Africa (WB),2018-01-31,Inflation Rate (median),4.05
Sub-Saharan Africa (WB),2018-02-28,Inflation Rate (median),4.0
Sub-Saharan Africa (WB),2018-03-31,Inflation Rate (median),3.8499999999999996
Sub-Saharan Africa (WB),2018-04-30,Inflation Rate (median),3.7
Sub-Saharan Africa (WB),2018-05-31,Inflation Rate (median),3.7
Sub-Saharan Africa (WB),2018-06-30,Inflation Rate (median),3.98
Sub-Saharan Africa (WB),2018-07-31,Inflation Rate (median),4.32
Sub-Saharan Africa (WB),2018-08-31,Inflation Rate (median),4.220000000000001
Sub-Saharan Africa (WB),2018-09-30,Inflation Rate (median),4.895
Sub-Saharan Africa (WB),2018-10-31,Inflation Rate (median),4.925
Sub-Saharan Africa (WB),2018-11-30,Inflation Rate (median),4.685
Sub-Saharan Africa (WB),2018-12-31,Inflation Rate (median),4.25
Sub-Saharan Africa (WB),2019-01-31,Inflation Rate (median),3.8899999999999997
Sub-Saharan Africa (WB),2019-02-28,Inflation Rate (median),3.8600000000000003
Sub-Saharan Africa (WB),2019-03-31,Inflation Rate (median),3.805
Sub-Saharan Africa (WB),2019-04-30,Inflation Rate (median),3.26
Sub-Saharan Africa (WB),2019-05-31,Inflation Rate (median),3.055
Sub-Saharan Africa (WB),2019-06-30,Inflation Rate (median),3.6
Sub-Saharan Africa (WB),2019-07-31,Inflation Rate (median),3.6
Sub-Saharan Africa (WB),2019-08-31,Inflation Rate (median),3.55
Sub-Saharan Africa (WB),2019-09-30,Inflation Rate (median),3.545
Sub-Saharan Africa (WB),2019-10-31,Inflation Rate (median),3.605
Sub-Saharan Africa (WB),2019-11-30,Inflation Rate (median),3.6
Sub-Saharan Africa (WB),2019-12-31,Inflation Rate (median),3.4
Sub-Saharan Africa (WB),2020-01-31,Inflation Rate (median),3.59
Sub-Saharan Africa (WB),2020-02-29,Inflation Rate (median),4.2
Sub-Saharan Africa (WB),2020-03-31,Inflation Rate (median),4.05
Sub-Saharan Africa (WB),2020-04-30,Inflation Rate (median),4.2
Sub-Saharan Africa (WB),2020-05-31,Inflation Rate (median),3.775
Sub-Saharan Africa (WB),2020-06-30,Inflation Rate (median),3.8499999999999996
Sub-Saharan Africa (WB),2020-07-31,Inflation Rate (median),4.0
Sub-Saharan Africa (WB),2020-08-31,Inflation Rate (median),4.1
Sub-Saharan Africa (WB),2020-09-30,Inflation Rate (median),4.2
Sub-Saharan Africa (WB),2020-10-31,Inflation Rate (median),4.4
Sub-Saharan Africa (WB),2020-11-30,Inflation Rate (median),4.385
Sub-Saharan Africa (WB),2020-12-31,Inflation Rate (median),3.78
Sub-Saharan Africa (WB),2021-01-31,Inflation Rate (median),4.195
Sub-Saharan Africa (WB),2021-02-28,Inflation Rate (median),4.800000000000001
Sub-Saharan Africa (WB),2021-03-31,Inflation Rate (median),4.255
Sub-Saharan Africa (WB),2021-04-30,Inflation Rate (median),4.6
Sub-Saharan Africa (WB),2021-05-31,Inflation Rate (median),5.25
Sub-Saharan Africa (WB),2021-06-30,Inflation Rate (median),5.52
Sub-Saharan Africa (WB),2021-07-31,Inflation Rate (median),5.140000000000001
Sub-Saharan Africa (WB),2021-08-31,Inflation Rate (median),5.050000000000001
Sub-Saharan Africa (WB),2021-09-30,Inflation Rate (median),5.2
Sub-Saharan Africa (WB),2021-10-31,Inflation Rate (median),5.300000000000001
Sub-Saharan Africa (WB),2021-11-30,Inflation Rate (median),5.55
Sub-Saharan Africa (WB),2021-12-31,Inflation Rate (median),5.9
Sub-Saharan Africa (WB),2022-01-31,Inflation Rate (median),6.6
Sub-Saharan Africa (WB),2022-02-28,Inflation Rate (median),6.6
Sub-Saharan Africa (WB),2022-03-31,Inflation Rate (median),6.8
Sub-Saharan Africa (WB),2022-04-30,Inflation Rate (median),7.5
Sub-Saharan Africa (WB),2022-05-31,Inflation Rate (median),7.8
Sub-Saharan Africa (WB),2022-06-30,Inflation Rate (median),8.98
Sub-Saharan Africa (WB),2022-07-31,Inflation Rate (median),9.8
Sub-Saharan Africa (WB),2022-08-31,Inflation Rate (median),11.2
Africa,2018-01-31,Inflation Rate (median),4.175
Africa,2018-02-28,Inflation Rate (median),4.0
Africa,2018-03-31,Inflation Rate (median),3.9
Africa,2018-04-30,Inflation Rate (median),3.715
Africa,2018-05-31,Inflation Rate (median),3.8
Africa,2018-06-30,Inflation Rate (median),4.0
Africa,2018-07-31,Inflation Rate (median),4.5
Africa,2018-08-31,Inflation Rate (median),4.6
Africa,2018-09-30,Inflation Rate (median),4.9
Africa,2018-10-31,Inflation Rate (median),5.1
Africa,2018-11-30,Inflation Rate (median),4.27
Africa,2018-12-31,Inflation Rate (median),4.2
Africa,2019-01-31,Inflation Rate (median),3.78
Africa,2019-02-28,Inflation Rate (median),3.72
Africa,2019-03-31,Inflation Rate (median),3.41
Africa,2019-04-30,Inflation Rate (median),3.25
Africa,2019-05-31,Inflation Rate (median),2.91
Africa,2019-06-30,Inflation Rate (median),3.5
Africa,2019-07-31,Inflation Rate (median),3.6
Africa,2019-08-31,Inflation Rate (median),3.5
Africa,2019-09-30,Inflation Rate (median),3.4
Africa,2019-10-31,Inflation Rate (median),3.6
Africa,2019-11-30,Inflation Rate (median),3.6
Africa,2019-12-31,Inflation Rate (median),3.3
Africa,2020-01-31,Inflation Rate (median),3.48
Africa,2020-02-29,Inflation Rate (median),4.2
Africa,2020-03-31,Inflation Rate (median),4.0
Africa,2020-04-30,Inflation Rate (median),4.2
Africa,2020-05-31,Inflation Rate (median),3.55
Africa,2020-06-30,Inflation Rate (median),3.8
Africa,2020-07-31,Inflation Rate (median),4.0
Africa,2020-08-31,Inflation Rate (median),4.0
Africa,2020-09-30,Inflation Rate (median),4.015
Africa,2020-10-31,Inflation Rate (median),4.4
Africa,2020-11-30,Inflation Rate (median),4.37
Africa,2020-12-31,Inflation Rate (median),3.69
Africa,2021-01-31,Inflation Rate (median),4.2
Africa,2021-02-28,Inflation Rate (median),4.7
Africa,2021-03-31,Inflation Rate (median),4.31
Africa,2021-04-30,Inflation Rate (median),4.595
Africa,2021-05-31,Inflation Rate (median),5.1
Africa,2021-06-30,Inflation Rate (median),5.41
Africa,2021-07-31,Inflation Rate (median),5.44
Africa,2021-08-31,Inflation Rate (median),5.405
Africa,2021-09-30,Inflation Rate (median),5.300000000000001
Africa,2021-10-31,Inflation Rate (median),5.4
Africa,2021-11-30,Inflation Rate (median),5.6
Africa,2021-12-31,Inflation Rate (median),5.9
Africa,2022-01-31,Inflation Rate (median),6.65
Africa,2022-02-28,Inflation Rate (median),6.7
Africa,2022-03-31,Inflation Rate (median),6.8
Africa,2022-04-30,Inflation Rate (median),7.5
Africa,2022-05-31,Inflation Rate (median),7.8
Africa,2022-06-30,Inflation Rate (median),8.98
Africa,2022-07-31,Inflation Rate (median),9.8
Africa,2022-08-31,Inflation Rate (median),11.1
Sub-Saharan Africa (UN),2018-01-31,Inflation Rate (median),4.025
Sub-Saharan Africa (UN),2018-02-28,Inflation Rate (median),3.75
Sub-Saharan Africa (UN),2018-03-31,Inflation Rate (median),3.8
Sub-Saharan Africa (UN),2018-04-30,Inflation Rate (median),3.6500000000000004
Sub-Saharan Africa (UN),2018-05-31,Inflation Rate (median),3.6
Sub-Saharan Africa (UN),2018-06-30,Inflation Rate (median),3.96
Sub-Saharan Africa (UN),2018-07-31,Inflation Rate (median),4.29
Sub-Saharan Africa (UN),2018-08-31,Inflation Rate (median),4.04
Sub-Saharan Africa (UN),2018-09-30,Inflation Rate (median),4.89
Sub-Saharan Africa (UN),2018-10-31,Inflation Rate (median),4.75
Sub-Saharan Africa (UN),2018-11-30,Inflation Rate (median),4.27
Sub-Saharan Africa (UN),2018-12-31,Inflation Rate (median),4.2
Sub-Saharan Africa (UN),2019-01-31,Inflation Rate (median),3.78
Sub-Saharan Africa (UN),2019-02-28,Inflation Rate (median),3.72
Sub-Saharan Africa (UN),2019-03-31,Inflation Rate (median),3.41
Sub-Saharan Africa (UN),2019-04-30,Inflation Rate (median),3.25
Sub-Saharan Africa (UN),2019-05-31,Inflation Rate (median),2.91
Sub-Saharan Africa (UN),2019-06-30,Inflation Rate (median),3.5
Sub-Saharan Africa (UN),2019-07-31,Inflation Rate (median),3.6
Sub-Saharan Africa (UN),2019-08-31,Inflation Rate (median),3.5
Sub-Saharan Africa (UN),2019-09-30,Inflation Rate (median),3.4
Sub-Saharan Africa (UN),2019-10-31,Inflation Rate (median),3.6
Sub-Saharan Africa (UN),2019-11-30,Inflation Rate (median),3.6
Sub-Saharan Africa (UN),2019-12-31,Inflation Rate (median),3.3
Sub-Saharan Africa (UN),2020-01-31,Inflation Rate (median),3.48
Sub-Saharan Africa (UN),2020-02-29,Inflation Rate (median),4.2
Sub-Saharan Africa (UN),2020-03-31,Inflation Rate (median),4.0
Sub-Saharan Africa (UN),2020-04-30,Inflation Rate (median),4.2
Sub-Saharan Africa (UN),2020-05-31,Inflation Rate (median),3.55
Sub-Saharan Africa (UN),2020-06-30,Inflation Rate (median),3.8
Sub-Saharan Africa (UN),2020-07-31,Inflation Rate (median),4.0
Sub-Saharan Africa (UN),2020-08-31,Inflation Rate (median),4.1
Sub-Saharan Africa (UN),2020-09-30,Inflation Rate (median),4.15
Sub-Saharan Africa (UN),2020-10-31,Inflation Rate (median),4.4
Sub-Saharan Africa (UN),2020-11-30,Inflation Rate (median),4.37
Sub-Saharan Africa (UN),2020-12-31,Inflation Rate (median),3.69
Sub-Saharan Africa (UN),2021-01-31,Inflation Rate (median),4.09
Sub-Saharan Africa (UN),2021-02-28,Inflation Rate (median),4.7
Sub-Saharan Africa (UN),2021-03-31,Inflation Rate (median),4.2
Sub-Saharan Africa (UN),2021-04-30,Inflation Rate (median),4.595
Sub-Saharan Africa (UN),2021-05-31,Inflation Rate (median),5.2
Sub-Saharan Africa (UN),2021-06-30,Inflation Rate (median),5.47
Sub-Saharan Africa (UN),2021-07-31,Inflation Rate (median),4.8
Sub-Saharan Africa (UN),2021-08-31,Inflation Rate (median),4.9
Sub-Saharan Africa (UN),2021-09-30,Inflation Rate (median),5.125
Sub-Saharan Africa (UN),2021-10-31,Inflation Rate (median),5.2
Sub-Saharan Africa (UN),2021-11-30,Inflation Rate (median),5.5
Sub-Saharan Africa (UN),2021-12-31,Inflation Rate (median),5.85
Sub-Saharan Africa (UN),2022-01-31,Inflation Rate (median),6.574999999999999
Sub-Saharan Africa (UN),2022-02-28,Inflation Rate (median),6.5
Sub-Saharan Africa (UN),2022-03-31,Inflation Rate (median),6.8
Sub-Saharan Africa (UN),2022-04-30,Inflation Rate (median),7.4
Sub-Saharan Africa (UN),2022-05-31,Inflation Rate (median),7.8
Sub-Saharan Africa (UN),2022-06-30,Inflation Rate (median),8.940000000000001
Sub-Saharan Africa (UN),2022-07-31,Inflation Rate (median),9.4
Sub-Saharan Africa (UN),2022-08-31,Inflation Rate (median),11.2
Eastern and Southern Africa,2018-01-31,Inflation Rate (median),4.83
Eastern and Southern Africa,2018-02-28,Inflation Rate (median),4.88
Eastern and Southern Africa,2018-03-31,Inflation Rate (median),4.66
Eastern and Southern Africa,2018-04-30,Inflation Rate (median),4.18
Eastern and Southern Africa,2018-05-31,Inflation Rate (median),3.95
Eastern and Southern Africa,2018-06-30,Inflation Rate (median),4.28
Eastern and Southern Africa,2018-07-31,Inflation Rate (median),4.5
Eastern and Southern Africa,2018-08-31,Inflation Rate (median),4.83
Eastern and Southern Africa,2018-09-30,Inflation Rate (median),5.0
Eastern and Southern Africa,2018-10-31,Inflation Rate (median),5.2
Eastern and Southern Africa,2018-11-30,Inflation Rate (median),5.58
Eastern and Southern Africa,2018-12-31,Inflation Rate (median),4.8
Eastern and Southern Africa,2019-01-31,Inflation Rate (median),4.7
Eastern and Southern Africa,2019-02-28,Inflation Rate (median),4.4
Eastern and Southern Africa,2019-03-31,Inflation Rate (median),4.6
Eastern and Southern Africa,2019-04-30,Inflation Rate (median),5.6
Eastern and Southern Africa,2019-05-31,Inflation Rate (median),4.5
Eastern and Southern Africa,2019-06-30,Inflation Rate (median),4.5
Eastern and Southern Africa,2019-07-31,Inflation Rate (median),4.6
Eastern and Southern Africa,2019-08-31,Inflation Rate (median),4.4
Eastern and Southern Africa,2019-09-30,Inflation Rate (median),4.6
Eastern and Southern Africa,2019-10-31,Inflation Rate (median),4.8
Eastern and Southern Africa,2019-11-30,Inflation Rate (median),4.199999999999999
Eastern and Southern Africa,2019-12-31,Inflation Rate (median),4.4
Eastern and Southern Africa,2020-01-31,Inflation Rate (median),5.2
Eastern and Southern Africa,2020-02-29,Inflation Rate (median),4.7
Eastern and Southern Africa,2020-03-31,Inflation Rate (median),5.84
Eastern and Southern Africa,2020-04-30,Inflation Rate (median),4.67
Eastern and Southern Africa,2020-05-31,Inflation Rate (median),4.3
Eastern and Southern Africa,2020-06-30,Inflation Rate (median),4.59
Eastern and Southern Africa,2020-07-31,Inflation Rate (median),4.36
Eastern and Southern Africa,2020-08-31,Inflation Rate (median),4.36
Eastern and Southern Africa,2020-09-30,Inflation Rate (median),4.3
Eastern and Southern Africa,2020-10-31,Inflation Rate (median),4.84
Eastern and Southern Africa,2020-11-30,Inflation Rate (median),4.9
Eastern and Southern Africa,2020-12-31,Inflation Rate (median),4.8
Eastern and Southern Africa,2021-01-31,Inflation Rate (median),5.4
Eastern and Southern Africa,2021-02-28,Inflation Rate (median),5.1
Eastern and Southern Africa,2021-03-31,Inflation Rate (median),5.76
Eastern and Southern Africa,2021-04-30,Inflation Rate (median),5.6
Eastern and Southern Africa,2021-05-31,Inflation Rate (median),5.81
Eastern and Southern Africa,2021-06-30,Inflation Rate (median),6.06
Eastern and Southern Africa,2021-07-31,Inflation Rate (median),6.5
Eastern and Southern Africa,2021-08-31,Inflation Rate (median),6.41
Eastern and Southern Africa,2021-09-30,Inflation Rate (median),6.04
Eastern and Southern Africa,2021-10-31,Inflation Rate (median),6.2
Eastern and Southern Africa,2021-11-30,Inflation Rate (median),6.4
Eastern and Southern Africa,2021-12-31,Inflation Rate (median),6.8
Eastern and Southern Africa,2022-01-31,Inflation Rate (median),6.84
Eastern and Southern Africa,2022-02-28,Inflation Rate (median),6.45
Eastern and Southern Africa,2022-03-31,Inflation Rate (median),6.67
Eastern and Southern Africa,2022-04-30,Inflation Rate (median),7.6
Eastern and Southern Africa,2022-05-31,Inflation Rate (median),7.8
Eastern and Southern Africa,2022-06-30,Inflation Rate (median),9.6
Eastern and Southern Africa,2022-07-31,Inflation Rate (median),9.9
Eastern and Southern Africa,2022-08-31,Inflation Rate (median),10.65
Western and Central Africa,2018-01-31,Inflation Rate (median),2.0
Western and Central Africa,2018-02-28,Inflation Rate (median),2.4
Western and Central Africa,2018-03-31,Inflation Rate (median),2.1
Western and Central Africa,2018-04-30,Inflation Rate (median),2.4
Western and Central Africa,2018-05-31,Inflation Rate (median),2.45
Western and Central Africa,2018-06-30,Inflation Rate (median),3.1
Western and Central Africa,2018-07-31,Inflation Rate (median),3.0999999999999996
Western and Central Africa,2018-08-31,Inflation Rate (median),2.5999999999999996
Western and Central Africa,2018-09-30,Inflation Rate (median),2.55
Western and Central Africa,2018-10-31,Inflation Rate (median),2.9000000000000004
Western and Central Africa,2018-11-30,Inflation Rate (median),2.9
Western and Central Africa,2018-12-31,Inflation Rate (median),3.2
Western and Central Africa,2019-01-31,Inflation Rate (median),2.5
Western and Central Africa,2019-02-28,Inflation Rate (median),2.55
Western and Central Africa,2019-03-31,Inflation Rate (median),2.6
Western and Central Africa,2019-04-30,Inflation Rate (median),2.2
Western and Central Africa,2019-05-31,Inflation Rate (median),1.65
Western and Central Africa,2019-06-30,Inflation Rate (median),1.65
Western and Central Africa,2019-07-31,Inflation Rate (median),1.15
Western and Central Africa,2019-08-31,Inflation Rate (median),1.4
Western and Central Africa,2019-09-30,Inflation Rate (median),0.8
Western and Central Africa,2019-10-31,Inflation Rate (median),0.9
Western and Central Africa,2019-11-30,Inflation Rate (median),1.25
Western and Central Africa,2019-12-31,Inflation Rate (median),1.2
Western and Central Africa,2020-01-31,Inflation Rate (median),1.85
Western and Central Africa,2020-02-29,Inflation Rate (median),2.6
Western and Central Africa,2020-03-31,Inflation Rate (median),2.45
Western and Central Africa,2020-04-30,Inflation Rate (median),3.1
Western and Central Africa,2020-05-31,Inflation Rate (median),2.8499999999999996
Western and Central Africa,2020-06-30,Inflation Rate (median),2.8499999999999996
Western and Central Africa,2020-07-31,Inflation Rate (median),3.0
Western and Central Africa,2020-08-31,Inflation Rate (median),3.55
Western and Central Africa,2020-09-30,Inflation Rate (median),2.9
Western and Central Africa,2020-10-31,Inflation Rate (median),3.85
Western and Central Africa,2020-11-30,Inflation Rate (median),2.7
Western and Central Africa,2020-12-31,Inflation Rate (median),3.0
Western and Central Africa,2021-01-31,Inflation Rate (median),2.5999999999999996
Western and Central Africa,2021-02-28,Inflation Rate (median),2.25
Western and Central Africa,2021-03-31,Inflation Rate (median),2.9
Western and Central Africa,2021-04-30,Inflation Rate (median),4.0
Western and Central Africa,2021-05-31,Inflation Rate (median),3.95
Western and Central Africa,2021-06-30,Inflation Rate (median),4.0
Western and Central Africa,2021-07-31,Inflation Rate (median),3.663
Western and Central Africa,2021-08-31,Inflation Rate (median),4.0605
Western and Central Africa,2021-09-30,Inflation Rate (median),4.7
Western and Central Africa,2021-10-31,Inflation Rate (median),4.16
Western and Central Africa,2021-11-30,Inflation Rate (median),5.1
Western and Central Africa,2021-12-31,Inflation Rate (median),5.6
Western and Central Africa,2022-01-31,Inflation Rate (median),6.6
Western and Central Africa,2022-02-28,Inflation Rate (median),6.9
Western and Central Africa,2022-03-31,Inflation Rate (median),7.199999999999999
Western and Central Africa,2022-04-30,Inflation Rate (median),7.5
Western and Central Africa,2022-05-31,Inflation Rate (median),7.8
Western and Central Africa,2022-06-30,Inflation Rate (median),8.3
Western and Central Africa,2022-07-31,Inflation Rate (median),9.0
Western and Central Africa,2022-08-31,Inflation Rate (median),11.2
Northern Africa,2018-01-31,Inflation Rate (median),11.850000000000001
Northern Africa,2018-02-28,Inflation Rate (median),10.6
Northern Africa,2018-03-31,Inflation Rate (median),10.25
Northern Africa,2018-04-30,Inflation Rate (median),10.3
Northern Africa,2018-05-31,Inflation Rate (median),9.45
Northern Africa,2018-06-30,Inflation Rate (median),11.05
Northern Africa,2018-07-31,Inflation Rate (median),10.4
Northern Africa,2018-08-31,Inflation Rate (median),10.75
Northern Africa,2018-09-30,Inflation Rate (median),11.0
Northern Africa,2018-10-31,Inflation Rate (median),7.3
Northern Africa,2018-11-30,Inflation Rate (median),5.7
Northern Africa,2018-12-31,Inflation Rate (median),5.1
Northern Africa,2019-01-31,Inflation Rate (median),4.85
Northern Africa,2019-02-28,Inflation Rate (median),5.0
Northern Africa,2019-03-31,Inflation Rate (median),5.0
Northern Africa,2019-04-30,Inflation Rate (median),4.6
Northern Africa,2019-05-31,Inflation Rate (median),4.25
Northern Africa,2019-06-30,Inflation Rate (median),3.5
Northern Africa,2019-07-31,Inflation Rate (median),3.9
Northern Africa,2019-08-31,Inflation Rate (median),4.3
Northern Africa,2019-09-30,Inflation Rate (median),3.8499999999999996
Northern Africa,2019-10-31,Inflation Rate (median),2.3
Northern Africa,2019-11-30,Inflation Rate (median),1.4
Northern Africa,2019-12-31,Inflation Rate (median),4.25
Northern Africa,2020-01-31,Inflation Rate (median),3.9000000000000004
Northern Africa,2020-02-29,Inflation Rate (median),3.55
Northern Africa,2020-03-31,Inflation Rate (median),3.5999999999999996
Northern Africa,2020-04-30,Inflation Rate (median),4.15
Northern Africa,2020-05-31,Inflation Rate (median),3.55
Northern Africa,2020-06-30,Inflation Rate (median),4.199999999999999
Northern Africa,2020-07-31,Inflation Rate (median),3.3
Northern Africa,2020-08-31,Inflation Rate (median),2.65
Northern Africa,2020-09-30,Inflation Rate (median),2.85
Northern Africa,2020-10-31,Inflation Rate (median),3.85
Northern Africa,2020-11-30,Inflation Rate (median),4.15
Northern Africa,2020-12-31,Inflation Rate (median),4.2
Northern Africa,2021-01-31,Inflation Rate (median),4.25
Northern Africa,2021-02-28,Inflation Rate (median),4.7
Northern Africa,2021-03-31,Inflation Rate (median),4.65
Northern Africa,2021-04-30,Inflation Rate (median),4.55
Northern Africa,2021-05-31,Inflation Rate (median),4.9
Northern Africa,2021-06-30,Inflation Rate (median),5.15
Northern Africa,2021-07-31,Inflation Rate (median),6.4
Northern Africa,2021-08-31,Inflation Rate (median),6.2
Northern Africa,2021-09-30,Inflation Rate (median),6.4
Northern Africa,2021-10-31,Inflation Rate (median),6.3
Northern Africa,2021-11-30,Inflation Rate (median),6.0
Northern Africa,2021-12-31,Inflation Rate (median),6.25
Northern Africa,2022-01-31,Inflation Rate (median),7.0
Northern Africa,2022-02-28,Inflation Rate (median),7.9
Northern Africa,2022-03-31,Inflation Rate (median),8.5
Northern Africa,2022-04-30,Inflation Rate (median),8.75
Northern Africa,2022-05-31,Inflation Rate (median),8.65
Northern Africa,2022-06-30,Inflation Rate (median),11.7
Northern Africa,2022-07-31,Inflation Rate (median),10.3
Northern Africa,2022-08-31,Inflation Rate (median),8.6
Middle Africa,2018-01-31,Inflation Rate (median),2.5
Middle Africa,2018-02-28,Inflation Rate (median),2.6
Middle Africa,2018-03-31,Inflation Rate (median),3.4
Middle Africa,2018-04-30,Inflation Rate (median),2.5
Middle Africa,2018-05-31,Inflation Rate (median),4.5
Middle Africa,2018-06-30,Inflation Rate (median),5.4
Middle Africa,2018-07-31,Inflation Rate (median),5.4
Middle Africa,2018-08-31,Inflation Rate (median),5.5
Middle Africa,2018-09-30,Inflation Rate (median),5.8
Middle Africa,2018-10-31,Inflation Rate (median),6.3
Middle Africa,2018-11-30,Inflation Rate (median),6.7
Middle Africa,2018-12-31,Inflation Rate (median),5.449999999999999
Middle Africa,2019-01-31,Inflation Rate (median),5.8
Middle Africa,2019-02-28,Inflation Rate (median),5.3
Middle Africa,2019-03-31,Inflation Rate (median),4.6
Middle Africa,2019-04-30,Inflation Rate (median),4.9
Middle Africa,2019-05-31,Inflation Rate (median),2.9
Middle Africa,2019-06-30,Inflation Rate (median),3.39
Middle Africa,2019-07-31,Inflation Rate (median),3.6
Middle Africa,2019-08-31,Inflation Rate (median),3.1
Middle Africa,2019-09-30,Inflation Rate (median),2.9
Middle Africa,2019-10-31,Inflation Rate (median),2.6
Middle Africa,2019-11-30,Inflation Rate (median),2.5
Middle Africa,2019-12-31,Inflation Rate (median),1.7999999999999998
Middle Africa,2020-01-31,Inflation Rate (median),2.7
Middle Africa,2020-02-29,Inflation Rate (median),6.89
Middle Africa,2020-03-31,Inflation Rate (median),4.7
Middle Africa,2020-04-30,Inflation Rate (median),6.3
Middle Africa,2020-05-31,Inflation Rate (median),4.6
Middle Africa,2020-06-30,Inflation Rate (median),5.0
Middle Africa,2020-07-31,Inflation Rate (median),5.3
Middle Africa,2020-08-31,Inflation Rate (median),8.5
Middle Africa,2020-09-30,Inflation Rate (median),5.2
Middle Africa,2020-10-31,Inflation Rate (median),5.5
Middle Africa,2020-11-30,Inflation Rate (median),4.5
Middle Africa,2020-12-31,Inflation Rate (median),3.1
Middle Africa,2021-01-31,Inflation Rate (median),5.03
Middle Africa,2021-02-28,Inflation Rate (median),4.92
Middle Africa,2021-03-31,Inflation Rate (median),4.31
Middle Africa,2021-04-30,Inflation Rate (median),4.11
Middle Africa,2021-05-31,Inflation Rate (median),5.025
Middle Africa,2021-06-30,Inflation Rate (median),4.37
Middle Africa,2021-07-31,Inflation Rate (median),3.57
Middle Africa,2021-08-31,Inflation Rate (median),2.56
Middle Africa,2021-09-30,Inflation Rate (median),3.86
Middle Africa,2021-10-31,Inflation Rate (median),2.84
Middle Africa,2021-11-30,Inflation Rate (median),3.99
Middle Africa,2021-12-31,Inflation Rate (median),3.8000000000000003
Middle Africa,2022-01-31,Inflation Rate (median),4.145
Middle Africa,2022-02-28,Inflation Rate (median),4.99
Middle Africa,2022-03-31,Inflation Rate (median),5.275
Middle Africa,2022-04-30,Inflation Rate (median),7.07
Middle Africa,2022-05-31,Inflation Rate (median),7.8
Middle Africa,2022-06-30,Inflation Rate (median),8.98
Middle Africa,2022-07-31,Inflation Rate (median),12.3
Middle Africa,2022-08-31,Inflation Rate (median),13.195
Western Africa,2018-01-31,Inflation Rate (median),2.25
Western Africa,2018-02-28,Inflation Rate (median),2.75
Western Africa,2018-03-31,Inflation Rate (median),2.8499999999999996
Western Africa,2018-04-30,Inflation Rate (median),3.2
