date,Africa (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Chad,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2023-08-31,8.8,13.6,13.4,-3.8,9.0,-5.9,39.3,8.8,10.6,-0.4,3.4,5.5,,0.0,71.4,10.7,26.5,24.16,51.86,6.0,7.5,5.9,26.66,3.29,10.8,39.4,-1.6,11.5,7.4,10.6,8.44,10.0,6.1,29.34,30.8,6.6,-2.65,62.75,-2.08,8.0,-99.0,5.6,2.1,15.3,7.7,12.6,17.9
2023-09-30,8.1,13.7,15.2,-4.9,7.7,-6.3,35.3,7.6,9.7,1.9,4.3,6.5,,1.9,73.6,9.9,27.1,24.39,49.34,7.5,7.9,6.2,23.49,3.43,10.2,36.8,-0.8,10.2,5.1,10.1,7.61,9.8,12.7,30.64,33.1,4.0,-2.61,64.67,-4.07,8.1,-97.4,5.6,1.7,13.9,5.1,13.4,23.1
2023-10-31,8.5,10.9,17.3,-8.3,6.5,-5.2,34.4,5.3,9.8,2.3,3.8,5.7,,3.8,71.3,10.2,29.7,23.23,44.77,6.7,7.8,7.3,16.86,3.11,9.5,34.5,-2.4,8.5,4.3,9.0,7.87,9.4,11.1,31.52,22.5,2.2,-3.18,60.34,-5.19,8.7,-97.6,4.5,5.4,13.0,2.6,13.6,23.5
2023-11-30,7.83,12.3,19.5,-4.4,6.7,-2.0,23.1,4.5,8.1,-0.7,4.2,6.2,,5.2,64.4,8.4,30.0,23.61,32.21,7.4,7.6,9.2,25.13,2.74,8.8,41.7,-1.5,6.8,4.0,7.6,7.83,9.2,9.7,32.84,16.0,-0.1,-3.15,59.18,-1.76,9.0,-97.4,3.7,3.4,11.9,2.1,13.7,29.2
2023-12-31,7.7,10.3,21.9,-2.5,6.1,-1.1,22.2,5.1,10.8,0.7,4.8,6.7,,5.9,60.5,7.1,30.6,22.03,28.68,8.0,7.7,10.3,26.94,2.89,8.8,43.5,-1.1,5.4,3.8,6.8,6.16,7.4,10.2,33.93,9.1,-0.3,-3.24,57.21,-2.11,8.5,22.5,2.3,3.1,12.3,0.1,14.2,38.3
2024-01-31,7.12,7.2,24.5,-5.5,5.9,2.6,17.8,1.4,5.3,0.4,,4.5,,6.6,47.9,5.6,32.2,20.39,27.1,8.4,7.9,11.7,26.11,2.51,7.6,44.9,1.0,4.1,9.5,4.3,7.05,6.5,9.6,35.41,2.9,2.6,-2.33,51.1,-1.01,7.2,105.9,1.5,0.4,12.1,0.0,13.7,60.3
2024-02-29,6.05,3.7,27.4,-2.8,5.8,2.0,18.0,-0.6,5.5,1.6,,5.8,,6.0,50.9,4.4,31.6,21.65,27.0,9.0,6.9,9.1,28.37,2.44,7.6,42.0,1.0,3.1,15.2,-0.5,6.89,5.8,10.8,37.92,0.8,3.3,-1.84,45.28,-1.08,6.1,116.6,1.8,4.4,10.2,0.5,14.1,84.4
2024-03-31,5.45,2.81,30.2,-2.4,5.0,2.5,12.4,0.1,6.0,2.0,,4.4,,6.1,45.0,4.2,29.0,19.74,29.6,8.5,5.8,9.7,25.51,2.16,6.3,38.8,-3.3,2.3,11.2,0.9,4.94,4.9,12.5,40.01,-4.1,5.0,-1.79,41.83,-2.04,5.1,186.0,1.4,2.5,10.2,-0.5,15.6,100.7
2024-04-30,5.19,1.18,33.0,3.3,4.2,3.9,9.2,1.5,5.8,2.3,,5.1,,5.1,40.5,3.7,27.0,15.26,26.8,8.2,5.6,10.4,25.76,2.57,6.3,39.9,0.8,1.8,6.8,-1.4,5.28,4.9,15.7,40.53,-6.6,2.8,-1.92,36.91,-3.97,4.7,64.5,1.4,4.0,9.2,-0.8,15.7,105.1
2024-05-31,5.4,2.52,34.4,1.1,4.0,4.5,13.2,2.7,5.3,12.5,,8.6,,4.0,31.0,3.6,25.5,14.67,22.6,8.6,6.2,8.2,12.8,3.04,6.3,40.7,1.3,1.5,5.4,-1.3,4.91,4.7,19.4,40.66,3.5,2.5,-1.26,32.42,0.0,4.7,44.9,1.6,8.1,9.7,-0.9,16.2,
2024-06-30,5.7,7.55,35.4,-0.1,4.0,3.8,13.7,2.2,5.1,14.9,,5.7,,3.6,31.9,4.1,22.7,13.99,24.0,9.0,5.6,8.3,11.59,3.36,6.1,41.5,5.7,1.3,4.9,1.6,5.15,4.3,24.5,40.87,-3.9,1.4,-1.11,27.25,-0.07,4.6,96.1,0.9,9.4,10.1,-0.4,16.8,
2024-07-31,6.5,7.64,35.4,0.4,4.4,8.0,17.1,1.5,4.3,16.6,,5.1,,0.6,29.7,3.9,20.6,12.7,21.5,7.7,5.6,9.0,,4.1,6.5,41.9,6.9,1.3,6.5,0.3,5.64,4.8,22.7,39.53,-3.7,-2.0,-1.09,24.75,-1.19,4.5,96.4,1.0,8.2,9.4,0.2,17.4,
2024-08-31,5.95,4.96,34.6,6.6,5.1,10.6,15.9,-0.4,4.1,,3.1,7.0,,2.7,29.0,3.5,18.8,,19.1,7.8,5.3,9.3,,4.0,6.8,42.0,8.5,1.3,6.8,1.9,5.28,5.2,15.3,37.52,-3.8,-4.0,-0.59,22.75,-1.01,4.7,,2.8,9.0,8.5,-0.6,17.6,
2024-09-30,5.54,4.46,33.8,6.0,5.0,10.6,19.7,0.0,5.8,,1.3,2.4,,0.4,27.7,3.2,19.6,,22.1,7.9,5.1,9.0,,4.1,6.9,43.5,6.6,1.4,7.7,0.5,5.29,5.1,8.6,37.77,-8.1,-1.9,-0.41,19.41,-0.15,4.7,,2.5,7.4,9.2,-1.5,17.9,
2024-10-31,5.2,6.49,,4.4,5.2,10.8,22.5,2.4,,,,2.2,,-0.8,27.3,,19.2,,22.8,7.9,4.3,8.3,,,,40.3,8.0,1.6,8.4,0.3,6.25,5.1,5.3,39.16,-5.8,-1.1,-0.2,,0.6,3.6,,2.5,3.9,9.3,-2.1,18.2,
2024-11-30,,,,,,,,,,,,,,,,,,,25.9,,4.5,,,,,,,,,,,5.3,,,,,0.42,,,,,,,8.5,-1.1,18.2,
