name_short,indicator_name,year,value
Sudan,Unemployment rate,2017-01-01,19.6
Sudan,Unemployment rate,2018-01-01,19.5
Sudan,Unemployment rate,2019-01-01,22.1
Sudan,Unemployment rate,2020-01-01,26.83
Sudan,Unemployment rate,2021-01-01,28.328
Sudan,Unemployment rate,2022-01-01,30.188
Sudan,Unemployment rate,2023-01-01,29.29
Sudan,Unemployment rate,2024-01-01,27.257
Sao Tome and Principe,Unemployment rate,2012-01-01,13.59
Sao Tome and Principe,Unemployment rate,2013-01-01,13.525
Sao Tome and Principe,Unemployment rate,2014-01-01,13.472
Sao Tome and Principe,Unemployment rate,2015-01-01,13.433
Sao Tome and Principe,Unemployment rate,2016-01-01,13.416
Sao Tome and Principe,Unemployment rate,2017-01-01,13.472
Seychelles,Unemployment rate,2012-01-01,3.705
Seychelles,Unemployment rate,2013-01-01,3.325
Seychelles,Unemployment rate,2014-01-01,2.983
Seychelles,Unemployment rate,2015-01-01,2.684
Seychelles,Unemployment rate,2016-01-01,2.684
Seychelles,Unemployment rate,2017-01-01,3.0
Seychelles,Unemployment rate,2018-01-01,3.0
Seychelles,Unemployment rate,2019-01-01,3.0
Seychelles,Unemployment rate,2020-01-01,3.0
Seychelles,Unemployment rate,2021-01-01,3.0
Seychelles,Unemployment rate,2022-01-01,3.0
Seychelles,Unemployment rate,2023-01-01,3.0
Seychelles,Unemployment rate,2024-01-01,3.0
Tunisia,Unemployment rate,2012-01-01,16.723
Tunisia,Unemployment rate,2013-01-01,15.33
Tunisia,Unemployment rate,2014-01-01,14.959
Tunisia,Unemployment rate,2015-01-01,15.39
Tunisia,Unemployment rate,2016-01-01,15.544
Tunisia,Unemployment rate,2017-01-01,15.513
Tunisia,Unemployment rate,2018-01-01,15.53
Tunisia,Unemployment rate,2019-01-01,14.889
Tunisia,Unemployment rate,2020-01-01,17.4
South Africa,Unemployment rate,2012-01-01,24.875
South Africa,Unemployment rate,2013-01-01,24.725
South Africa,Unemployment rate,2014-01-01,25.1
South Africa,Unemployment rate,2015-01-01,25.35
South Africa,Unemployment rate,2016-01-01,26.725
South Africa,Unemployment rate,2017-01-01,27.45
South Africa,Unemployment rate,2018-01-01,27.125
South Africa,Unemployment rate,2019-01-01,28.7
South Africa,Unemployment rate,2020-01-01,29.175
South Africa,Unemployment rate,2021-01-01,34.2
South Africa,Unemployment rate,2022-01-01,35.217
South Africa,Unemployment rate,2023-01-01,37.004
South Africa,Unemployment rate,2024-01-01,38.094
