date,iso_code,indicator,indicator_code,value
2020-01-01,LVA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.4
2020-01-01,MAR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,16.0
2020-01-01,MCO,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.5
2020-01-01,MDA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,12.5
2020-01-01,MDG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,36.3
2020-01-01,MDV,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.5
2020-01-01,MEA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,17.8
2020-01-01,MEX,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.8
2020-01-01,MHL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,25.5
2020-01-01,MIC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,25.8753791263387
2020-01-01,MKD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.2
2020-01-01,MLI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,58.8
2020-01-01,MLT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.6
2020-01-01,MMR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,35.0
2020-01-01,MNA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,19.1306991631138
2020-01-01,MNE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.0
2020-01-01,MNG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.2
2020-01-01,MOZ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,52.8
2020-01-01,MRT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,49.0
2020-01-01,MUS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,14.8
2020-01-01,MWI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,29.0
2020-01-01,MYS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,7.4
2020-01-01,NAC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.3
2020-01-01,NAM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,30.1
2020-01-01,NER,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,45.6
2020-01-01,NGA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,72.2
2020-01-01,NIC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.8
2020-01-01,NLD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.6
2020-01-01,NOR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,1.8
2020-01-01,NPL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,23.6
2020-01-01,NRU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,23.8
2020-01-01,NZL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.9
2020-01-01,OED,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.74955118003866
2020-01-01,OMN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,9.5
2020-01-01,OSS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,35.3120657231634
2020-01-01,PAK,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,54.2
2020-01-01,PAN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,12.3
2020-01-01,PER,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,10.0
2020-01-01,PHL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,20.9
2020-01-01,PLW,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,15.7
2020-01-01,PNG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,35.2
2020-01-01,POL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.7
2020-01-01,PRE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,52.4287970327087
2020-01-01,PRK,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.6
2020-01-01,PRT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.7
2020-01-01,PRY,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,16.2
2020-01-01,PSE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,14.2
2020-01-01,PSS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,20.0793583456997
2020-01-01,PST,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.00116669935429
2020-01-01,QAT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.9
2020-01-01,ROU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.6
2020-01-01,RUS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.4
2020-01-01,RWA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,30.3
