year,donor_code,flows_code,value,indicator
2012,820,1140,162417.47,GNI
2013,1,1140,428299.26,GNI
2013,2,1140,507543.16,GNI
2013,3,1140,343665.19,GNI
2013,4,1140,2793907.04,GNI
2013,5,1140,3735767.39,GNI
2013,6,1140,2058746.68,GNI
2013,7,1140,812758.9,GNI
2013,8,1140,519298.91,GNI
2013,9,1140,215399.09,GNI
2013,10,1140,574808.54,GNI
2013,11,1140,703108.795095,GNI
2013,12,1140,2536128.55,GNI
2013,18,1140,268120.02,GNI
2013,20,1140,15290.58,GNI
2013,21,1140,183108.07,GNI
2013,22,1140,42862.45,GNI
2013,40,1140,241484.33,GNI
2013,50,1140,1350268.19,GNI
2013,61,1140,47406.27,GNI
2013,68,1140,185365.03,GNI
2013,69,1140,92163.57,GNI
2013,75,1140,124410.53,GNI
2013,76,1140,506874.6,GNI
2013,301,1140,1799142.88,GNI
2013,302,1140,17204300.0,GNI
2013,701,1140,5100617.88,GNI
2013,742,1140,1314695.72,GNI
2013,801,1140,1464361.92,GNI
2013,820,1140,174224.0,GNI
2014,1,1140,434126.35,GNI
2014,2,1140,528308.35,GNI
2014,3,1140,350846.82,GNI
2014,4,1140,2885067.47,GNI
2014,5,1140,3956253.15,GNI
2014,6,1140,2141436.91,GNI
2014,7,1140,877561.36,GNI
2014,8,1140,508376.2,GNI
2014,9,1140,227011.81,GNI
2014,10,1140,569509.18,GNI
2014,11,1140,713130.777492,GNI
2014,12,1140,2749132.37,GNI
2014,18,1140,275149.26,GNI
2014,20,1140,16908.61,GNI
2014,21,1140,217483.08,GNI
2014,22,1140,39763.83,GNI
2014,40,1140,234576.09,GNI
2014,50,1140,1396105.88,GNI
2014,61,1140,49416.23,GNI
2014,68,1140,189164.65,GNI
2014,69,1140,96658.79,GNI
2014,75,1140,132219.58,GNI
2014,76,1140,527653.05,GNI
2014,301,1140,1759416.13,GNI
2014,302,1140,17823200.0,GNI
2014,701,1140,4786401.19,GNI
2014,742,1140,1420969.41,GNI
2014,801,1140,1394293.0,GNI
2014,820,1140,187832.12,GNI
2015,1,1140,374138.66,GNI
2015,2,1140,457652.8,GNI
2015,3,1140,302768.76,GNI
2015,4,1140,2458662.56,GNI
2015,5,1140,3429093.73,GNI
2015,6,1140,1811822.37,GNI
2015,7,1140,764747.64,GNI
2015,8,1140,409057.33,GNI
2015,9,1140,194726.64,GNI
2015,10,1140,504738.47,GNI
2015,11,1140,694965.636559,GNI
2015,12,1140,2632511.84,GNI
2015,18,1140,233972.27,GNI
2015,20,1140,16641.48,GNI
2015,21,1140,226163.06,GNI
2015,22,1140,38105.77,GNI
2015,40,1140,195784.8,GNI
2015,50,1140,1196294.64,GNI
2015,61,1140,42410.6,GNI
2015,68,1140,169115.91,GNI
2015,69,1140,83857.49,GNI
2015,75,1140,116104.44,GNI
2015,76,1140,460044.56,GNI
2015,301,1140,1529870.14,GNI
2015,302,1140,18496000.0,GNI
2015,701,1140,4553329.15,GNI
2015,742,1140,1386121.93,GNI
2015,801,1140,1200091.67,GNI
2015,820,1140,166605.74,GNI
2016,1,1140,385989.16,GNI
2016,2,1140,461334.734048,GNI
2016,3,1140,315039.67,GNI
2016,4,1140,2503949.61,GNI
2016,5,1140,3537225.48,GNI
2016,6,1140,1852102.627,GNI
2016,7,1140,765520.29,GNI
2016,8,1140,390518.68,GNI
2016,9,1140,200276.64,GNI
2016,10,1140,520233.51,GNI
2016,11,1140,673089.75,GNI
2016,12,1140,2578553.0,GNI
2016,18,1140,240842.64,GNI
2016,20,1140,20647.67,GNI
2016,21,1140,251843.0,GNI
2016,22,1140,39073.95,GNI
2016,40,1140,194833.57,GNI
2016,50,1140,1232556.67,GNI
2016,61,1140,43461.57,GNI
2016,68,1140,182800.87,GNI
2016,69,1140,87580.45,GNI
2016,75,1140,119914.19,GNI
2016,76,1140,450712.71,GNI
2016,301,1140,1508494.794024,GNI
2016,302,1140,18496000.0,GNI
2016,701,1140,5114538.52,GNI
2016,742,1140,1412380.0,GNI
2016,801,1140,1232953.99,GNI
2016,820,1140,176574.71,GNI
2017,1,1140,417029.56,GNI
2017,2,1140,493164.24,GNI
2017,3,1140,331957.8,GNI
2017,4,1140,2647390.37,GNI
2017,5,1140,3746609.18,GNI
2017,6,1140,1946056.81,GNI
2017,7,1140,821360.61,GNI
2017,8,1140,415524.24,GNI
2017,9,1140,212566.83,GNI
2017,10,1140,546017.32,GNI
2017,11,1140,694932.929884,GNI
2017,12,1140,2590360.55,GNI
2017,18,1140,255311.69,GNI
2017,20,1140,24058.09,GNI
2017,21,1140,264029.99,GNI
2017,22,1140,42599.48,GNI
2017,40,1140,200693.27,GNI
2017,50,1140,1313319.81,GNI
2017,61,1140,47690.9,GNI
2017,68,1140,202487.31,GNI
2017,69,1140,90328.05,GNI
2017,75,1140,134180.8,GNI
2017,76,1140,504468.29,GNI
2017,301,1140,1630070.87,GNI
2017,302,1140,19644500.0,GNI
2017,701,1140,5033977.49,GNI
2017,742,1140,1530521.7,GNI
2017,801,1140,1308622.12,GNI
2017,820,1140,194733.48,GNI
2018,1,1140,453236.13,GNI
2018,2,1140,537277.23,GNI
2018,3,1140,360488.48,GNI
2018,4,1140,2838937.8,GNI
2018,5,1140,4081738.46,GNI
2018,6,1140,2087324.44,GNI
2018,7,1140,913775.5,GNI
2018,8,1140,452565.77,GNI
2018,9,1140,231882.36,GNI
2018,10,1140,559868.36,GNI
2018,11,1140,706118.264929,GNI
2018,12,1140,2789214.35,GNI
2018,18,1140,274123.69,GNI
2018,20,1140,26045.08,GNI
2018,21,1140,297209.0,GNI
2018,22,1140,48114.69,GNI
2018,40,1140,218003.07,GNI
2018,50,1140,1425568.28,GNI
2018,61,1140,53514.96,GNI
2018,68,1140,231663.43,GNI
2018,69,1140,104826.78,GNI
2018,75,1140,136272.21,GNI
2018,76,1140,563344.13,GNI
2018,301,1140,1690212.96,GNI
2018,302,1140,20803246.0,GNI
2018,701,1140,5135329.57,GNI
2018,742,1140,1725574.47,GNI
2018,801,1140,1371698.66,GNI
2018,820,1140,195364.28,GNI
2019,1,1140,445900.48,GNI
2019,2,1140,531444.0,GNI
2019,3,1140,356212.89,GNI
2019,4,1140,2768625.33,GNI
2019,5,1140,3957040.19,GNI
2019,6,1140,2018323.07,GNI
2019,7,1140,901815.74,GNI
